event_id,event_name,phase_id,phase_name,event_type,source_keyword,note_id,note_url_public,title,desc,tag_list,publish_time_bj,publish_date_bj,creator_hash,nickname,public_ip_location,liked_count_num,collected_count_num,comment_count_num,share_count_num,representative_score,representative_rank_in_phase,is_representative_sample,is_marketing,content_type,collected_device,collected_account,collected_at_bj
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a262de10000000022026198,https://www.xiaohongshu.com/explore/6a262de10000000022026198,高考学子霸气走进考场,开考首日，父母送考，高考学子霸气走进考场，一步一稳！#人间温暖[话题]# #正能量[话题]# #高考加油[话题]#,"人间温暖,正能量,高考加油",2026-06-08 10:50:09,2026-06-08,ccc7ec42338f2ebb,正***柒,湖南,1045,171,328,120,2611,44,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a250864000000003502c002,https://www.xiaohongshu.com/explore/6a250864000000003502c002,2026年全国高考时间日程,"高考从来不只是这几天的考试，而是无数个认真努力的日夜，最终交出的一份答卷
愿所有高考生：
落笔生花，得偿所愿✨
​2026年全国统一高考今天开考，报名总人数为1290万人，全国共设7981个考点，34.8万个考场，2.1万个备用考场，高考首日的考试科目是语文和数学。
​",,2026-06-07 13:57:56,2026-06-07,caf2409b774e1de8,刘***y,吉林,353,75,4,37,589,53,True,False,exam_scene,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a26880f000000002100b136,https://www.xiaohongshu.com/explore/6a26880f000000002100b136,高考九点开考不是随便定的,#背书方法[话题]# #记忆力[话题]# #我与高考的难忘经历[话题]# #背书技巧[话题]# #高考加油[话题]# #高考不是结束而是新的开始[话题]# #考试[话题]# #小小高考拿下[话题]# #高考冲刺[话题]# #高考[话题]#,"背书方法,记忆力,我与高考的难忘经历,背书技巧,高考加油,高考不是结束而是新的开始,考试,小小高考拿下,高考冲刺,高考",2026-06-08 17:14:55,2026-06-08,cfbd2cf0baaa7eea,大***师,安徽,194,167,3,6,549,54,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a24ed0e000000001c027151,https://www.xiaohongshu.com/explore/6a24ed0e000000001c027151,刷到高考破防了，32岁的我也在重新开考,"hello姐妹们👋我是青青
32岁，北漂，前财务，上班带娃转自媒体。
	
这两天刷到高考的消息，突然很感慨。
很多年前的我，也曾以为高考是人生蕞重要的一场考试。好像走出考场那一刻，命运就会被写下答案。
	
可后来慢慢长大才发现，人生真的很有意思。
	
它从来不是只考一次，也不是只给我们一张试卷。
高考是一场青春的奔赴，成年以后，我们还会遇到很多新的“开考时刻”。
	
北漂，是一次开考。
一个人在陌生城市租房、通勤、工作，把小日子一点点过稳。
	
当妈妈，是一次开考。
在孩子的哭声、笑声和日常琐碎里，重新学会耐心、柔软和强大。
	
失业后做小🍠，也是一次开考。
以前做财务，看惯了确定的数字和结果。后来开始写笔记，才发现生活里也有很多不能提前计算的惊喜。
	
一开始我也不会选题，不会封面，不会看数据。孩子睡了以后，我就坐在餐桌前慢慢改笔记。屋子里很安静，手机屏幕亮着，我也像重新坐回了自己的“小考场”。
	
有时候数据一般，但有姐妹留言说：“你写的就是我。”
	
那一刻我真的很开心。原来普通妈妈 的生活，也可以被看见；原来那些柴米油盐、带娃日常、低谷后的重新开始，也能变成一点点光。
	
所以现在再看高考，我反而觉得很温柔。
它不是终点，而是人生很多次出发里的其中一次。
考得好，当然值得骄傲；暂时不如意，也不代表人生就此定格。
	
人生蕞可贵的地方就在于：
只要你愿意，什么时候都可以重新出发，重新为自己写答案。
	
☁️青青碎碎念：
以前总以为人生怕考砸，后来才懂，真正重要的不是一次成绩，而是我们有没有继续往前走的勇气。
	
祝今年所有考生，落笔生花，金榜题名。愿你们走出考场后，奔赴更辽阔的人生。
	
也愿每一个正在重新开考的大人，都能带着轻盈和热爱，慢慢长出自己的光🌱
#素人做博主的成长日记[话题]# #自媒体干货分享[话题]# #plog[话题]# #女性成长[话题]# #失业日记[话题]##北漂生活[话题]# #生活感悟[话题]##2026高考加油[话题]# #高考祝福[话题]# #howto发现小众好物[话题]#","素人做博主的成长日记,自媒体干货分享,plog,女性成长,失业日记,北漂生活,生活感悟,2026高考加油,高考祝福,howto发现小众好物",2026-06-07 12:01:18,2026-06-07,551277521cbc2586,打***阳,北京,66,34,64,1,328,55,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a24b54d0000000007020854,https://www.xiaohongshu.com/explore/6a24b54d0000000007020854,高考语文开考,还有半个小时就进考场了，吃的避孕药没啥用，搞得昨天还是来例假了，哎呦，我真服了吧，直接布洛芬压制了，没招了,,2026-06-07 08:03:25,2026-06-07,1f18482d755e3caf,主*,广东,56,1,45,1,195,57,True,False,exam_scene,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a24c2b7000000003501c0e7,https://www.xiaohongshu.com/explore/6a24c2b7000000003501c0e7,提笔有锋芒 落笔皆荣光！2026高考开考！厦门超3万少年从容赴考,提笔有锋芒 落笔皆荣光！2026高考开考！厦门超3万少年从容赴考,,2026-06-07 09:00:39,2026-06-07,64aefa6f236d08f4,厦***报,福建,30,1,0,3,38,59,True,False,exam_scene,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a24d0790000000035026a4b,https://www.xiaohongshu.com/explore/6a24d0790000000035026a4b,2026高考开考,"2026高考首日，
向每一个全力以赴的你，
道一声：加油！
祝你提笔从容，合笔如愿。
2026高考，必胜！
#高考祝福[话题]# #2026高考季[话题]# #北京高考[话题]##东城区[话题]# #金榜题名[话题]#","高考祝福,2026高考季,北京高考,东城区,金榜题名",2026-06-07 09:59:21,2026-06-07,7bd1bcbcf5863ad2,三***子,北京,24,6,1,2,43,58,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a263cfd0000000007010491,https://www.xiaohongshu.com/explore/6a263cfd0000000007010491,与2024的高考暴雨握手言和,"又是一年物理高考开考的日子，猝不及防间，我再次掉进2024年广东高考的那场雨里。
	
我在广东某重点中学的重点班，从来都不算天赋型选手，尤其是物理，一直是我的软肋。我没有过人的思维天赋，唯一能做的就是笨鸟先飞，靠日复一日的刷题沉淀，一点点啃下基础题型，稳住非压轴的分数，在物理学科里艰难立足。考前所有风声都在告诉我：难度略有提升，整体与2023年持平。我抱着一丝信心，带着数月的题海积累，觉得只要正常发挥，就能不负所有付出。
	
2024年6月8日，天色落雨，细雨淅淅沥沥。我从容走进考场，却未曾想，这场雨，会成为我青春里一场久久不散的潮湿。
	
落笔的瞬间，所有预设的节奏尽数崩塌。眼前的题目颠覆了我所有的刷题经验，没有熟悉的题型套路，取而代之的是晦涩拗口的题干、冗长复杂的情境、全然陌生的创新设问。密密麻麻的文字铺陈开来，我反复品读，却依旧摸不透核心考点，原本熟练的解题思路，在此刻尽数失灵。
	
那一刻，没有慌乱的失态，没有崩溃的恍惚，只有一种彻骨的寒凉慢慢漫过心底。那种无力，是拼尽全力铺垫的前路，突然被彻底截断的茫然；是无数个日夜的伏案苦读，瞬间沦为无用功的落空。那场考试结束后，我没有哭。后来我才慢慢懂得，哭是情绪的宣泄，而哭不出来，才是难过的最高境界。是心底早已清楚结局已定，所有挣扎都于事无补，所有不甘都无从诉说，是深深的无力与意难平，死死压住了所有情绪，连落泪都成了奢侈。
	
查分那天，物理成绩如期而至，也如约给了我最沉重的一击。它击碎了我所有的备考期许，推翻了我所有的努力认证，成为我青春里最刺眼的遗憾，是无数期盼落空的致命收尾。
	
转眼两年光阴匆匆而过，看似早已翻篇，可只有自己知道，从未真正遗忘，也未曾彻底释怀。考场上的茫然，查分时的失落，早已沉淀在心底，成为一道酸涩的印记。
	
但如今我终于明白，真正的治愈，从来不是彻底抹去过往、遗忘伤痛。人生很多遗憾，本就无法消解，只能共处。2024年的那场物理高考暴雨，终究是停了。它淋透了那个全力以赴却惨遭落空的女孩，打乱了我青春既定的轨迹，也在我心底永远留下了一片潮湿。但我依旧带着这片潮湿，一步步往前走，迎着风，追着光，奔赴一个又一个崭新的晴天。
#高考[话题]# #高考物理[话题]# #我与高考的难忘经历[话题]# #高考加油[话题]# #高考不是结束而是新的开始[话题]# #高考上岸[话题]# #广东物理[话题]#","高考,高考物理,我与高考的难忘经历,高考加油,高考不是结束而是新的开始,高考上岸,广东物理",2026-06-08 11:54:37,2026-06-08,83783d3dfd588284,d***u,广东,16,1,2,1,26,60,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a24cf82000000001503cc09,https://www.xiaohongshu.com/explore/6a24cf82000000001503cc09,2026高考开考,"愿高考顺利，考出自己的水平；
考的都会，蒙的都对✅
超常发挥，考上理想的大学🎉
#高考祝福[话题]# #2026高考季[话题]# #高考加油[话题]# #2026高考[话题]# #魔都高考[话题]# #金榜题名[话题]#","高考祝福,2026高考季,高考加油,2026高考,魔都高考,金榜题名",2026-06-07 09:55:14,2026-06-07,af991dfd4632405f,开***程,上海,1,0,3,0,10,61,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考开考,6a260a35000000003502c3a3,https://www.xiaohongshu.com/explore/6a260a35000000003502c3a3,高考第一天，先把能控制的3件事稳住,"今天高考开考，很多人的信息流里都被祝福、天气、路况、送考现场填满。
	
我想到一个很真实的瞬间：越是重要的日子，我们越容易一边告诉自己“别紧张”，一边反复检查、反复担心、反复刷消息。
	
可真正能托住人的，往往不是一句很大的加油，而是几个很小的确定。
	
大事当前，先稳住 3 件事：
	
1. 稳物品：只看一张清单，不临时加新东西。证件、纸笔、手机、钥匙、雨具、水杯，按自己的场景替换。
2. 稳节奏：写下到达、休息、补给、联系人 4 个时间点，减少临场选择。
3. 稳关系：把“别紧张”换成“我在，你按自己的节奏来”；把“我要表现得很好”换成“我现在只做下一步”。
	
这张清单不只给高考生。
	
也给正在考证、面试、汇报、答辩、入职、转岗的人。
	
愿你今天不被太多信息拉走。
	
愿你在重要节点前，能先看见自己手里还有可控的部分。
	
把这张清单转给今天有大事的人，也可以留给下次重要节点前的自己。
	
#高考加油 #重要时刻 #情绪稳定 #面试准备 #职场沟通 #考证人 #打工人成长 #自我管理 #成长清单",,2026-06-08 08:17:57,2026-06-08,0a16bbcbe3f17fdb,淮***锦,上海,0,0,0,0,0,62,True,False,blessing,A,account_a,2026-07-04T17:11:11
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a255106000000003502c1f0,https://www.xiaohongshu.com/explore/6a255106000000003502c1f0,弟弟高考第一天 数学到底有多难？,#高考[话题]###高考数学[话题]##2026高考季[话题]# #高中生[话题]##姐弟[话题]##高考作文[话题]##高考加油[话题]#,"高考,高考数学,2026高考季,高中生,姐弟,高考作文,高考加油",2026-06-07 19:07:50,2026-06-07,aa00077056f4c002,蜡***颖,湖北,28000,2249,217,102,33353,16,True,False,blessing,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a25457700000000210197b7,https://www.xiaohongshu.com/explore/6a25457700000000210197b7,高考第一天，40岁高三陪读妈妈～7:00起床给孩子做了营养早餐，让孩子吃饱喝好，才能全力以赴去应对高考，祝我的男孩高考顺利，以梦为马，不负韶华；砥砺前行，未来可期。#高考加油[话题]##祝考生们旗开得胜[话题]##高考[话题]#,高考第一天，40岁高三陪读妈妈～7:00起床给孩子做了营养早餐，让孩子吃饱喝好，才能全力以赴去应对高考，祝我的男孩高考顺利，以梦为马，不负韶华；砥砺前行，未来可期。#高考加油[话题]##祝考生们旗开得胜[话题]##高考[话题]#,"高考加油,祝考生们旗开得胜,高考",2026-06-07 18:18:32,2026-06-07,6220d8edc5e5686f,笑***房,安徽,13000,1363,660,416,18538,21,True,False,blessing,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a257d7a0000000007020827,https://www.xiaohongshu.com/explore/6a257d7a0000000007020827,高考第一天果然没让我们失望#搞笑#高考[话题]# #高考NPC[话题]# #送考[话题]# #考场[话题]#,高考第一天果然没让我们失望#搞笑#高考[话题]# #高考NPC[话题]# #送考[话题]# #考场[话题]#,"高考,高考NPC,送考,考场",2026-06-07 22:17:30,2026-06-07,ae654031bc839f01,吃***社,山东,9441,606,452,4226,20461,19,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a2575320000000022008346,https://www.xiaohongshu.com/explore/6a2575320000000022008346,高考第一天,#高考[话题]#,高考,2026-06-07 21:42:10,2026-06-07,0b151c17e76fec10,云***蟹,安徽,7716,317,321,106,9525,27,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,selected_notes_B001_P2_chunk_015,6a24d2a700000000220151d3,https://www.xiaohongshu.com/explore/6a24d2a700000000220151d3,考生途中遇到交通事故堵车，情急之下，求助外卖骑手，顺利到达考场，真是好人无处不在！#高考第一天[话题]# #2026高考[话题]# #爱心送考[话题]#,考生途中遇到交通事故堵车，情急之下，求助外卖骑手，顺利到达考场，真是好人无处不在！#高考第一天[话题]# #2026高考[话题]# #爱心送考[话题]#,"高考第一天,2026高考,爱心送考",2026-06-07 10:08:39,2026-06-07,0a3d052a06278289,彤***嘞,贵州,5617,721,201,52,7766,29,True,False,exam_scene,A,account_a,2026-07-04T20:09:22
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a254534000000003501ecb9,https://www.xiaohongshu.com/explore/6a254534000000003501ecb9,高考第一天，多家官媒发文！,"成毅说：“要去做你认定的事，守护好眼底的星辰与大海。”
这句话，刚好就是今年高考作文的答案。
这大概就是被央媒集体转发的原因吧，这就是正能量的优秀的青年演员成毅！#成毅[话题]# #热搜[话题]# #高考[话题]##官媒[话题]#","成毅,热搜,高考,官媒",2026-06-07 18:17:25,2026-06-07,bb631ce478465527,烟***u,辽宁,4751,342,133,308,6450,31,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,selected_notes_B001_P2_chunk_017,6a2550fd000000001702f37e,https://www.xiaohongshu.com/explore/6a2550fd000000001702f37e,高考送考第一天,#好视频扶持计划[话题]# #二次元看见计划[话题]##高考第一天[话题]#,"好视频扶持计划,二次元看见计划,高考第一天",2026-06-07 19:07:41,2026-06-07,dfbed4464535600c,小***闻,辽宁,3164,1001,35,36,5343,33,True,False,exam_scene,A,account_a,2026-07-04T21:04:40
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a2553740000000006022f0e,https://www.xiaohongshu.com/explore/6a2553740000000006022f0e,高考第一天，77岁爷爷来陪孙子考试，考场外，提起孙子，老人哭了…网友：爷爷那一滴泪，把我们也看哭#泪目[话题]# #人间有温情[话题]# #希望天下所有老人都被善待[话题]# #感动[话题]# #关爱老人[话题]#,高考第一天，77岁爷爷来陪孙子考试，考场外，提起孙子，老人哭了…网友：爷爷那一滴泪，把我们也看哭#泪目[话题]# #人间有温情[话题]# #希望天下所有老人都被善待[话题]# #感动[话题]# #关爱老人[话题]#,"泪目,人间有温情,希望天下所有老人都被善待,感动,关爱老人",2026-06-07 19:18:12,2026-06-07,e44154b0bd50afc1,小***忙,河南,2823,71,120,25,3375,40,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a2733f10000000036003b55,https://www.xiaohongshu.com/explore/6a2733f10000000036003b55,高考日记（第一天）,人大附中家长送考父女之第一视角！#高考[话题]# #人大附中[话题]##2026高考季[话题]# #2026高考加油[话题]# @校园薯,"高考,人大附中,2026高考季,2026高考加油",2026-06-09 05:28:17,2026-06-09,4dea845562e50d2f,纳***爸,北京,2764,256,211,83,4075,36,True,False,blessing,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a25471a0000000006020873,https://www.xiaohongshu.com/explore/6a25471a0000000006020873,高考第一天的你回家刷手机belike,#2026高考季[话题]# #高考[话题]# #pov[话题]# #内容过于真实[话题]# #精神状态belike[话题]#,"2026高考季,高考,pov,内容过于真实,精神状态belike",2026-06-07 18:25:30,2026-06-07,a78307863be86530,姚***e,四川,2048,179,5841,16,19961,20,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,selected_notes_B001_P2_chunk_021,6a27ecea000000003502d728,https://www.xiaohongshu.com/explore/6a27ecea000000003502d728,今天是妹妹高考的第一天瞬间回到了去年的时候#记录我的农村生活[话题]# #日常vlog[话题]##高考加油[话题]#,今天是妹妹高考的第一天瞬间回到了去年的时候#记录我的农村生活[话题]# #日常vlog[话题]##高考加油[话题]#,"记录我的农村生活,日常vlog,高考加油",2026-06-09 18:37:30,2026-06-09,410fe364265cabf1,小*,河南,2016,97,112,19,2584,45,True,False,blessing,A,account_a,2026-07-04T21:18:21
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a2550d10000000035022807,https://www.xiaohongshu.com/explore/6a2550d10000000035022807,高考第一天，陈都灵的翘楚破万啦！,#陈都灵[话题]# #翘楚[话题]##剧集翘楚[话题]#  #翘楚步步算计个个心机[话题]# #高考[话题]#,"陈都灵,翘楚,剧集翘楚,翘楚步步算计个个心机,高考",2026-06-07 19:06:57,2026-06-07,d3a67251ca707458,木***s,湖北,1897,91,29,4,2174,49,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a24d9a60000000017029547,https://www.xiaohongshu.com/explore/6a24d9a60000000017029547,蔚乐萤爱心送考车队为考生保驾护航！,高考第一天，蔚乐萤爱心送考车队为考生保驾护航。蔚来考上985，乐道金榜题名时，做高考萤家！蔚来公司用户连续7年爱心送考，祝所有学子考出好成绩，敢想有为，一起加电！#蔚来[话题]##加电的李斌[话题]##蔚来985[话题]# #高考祝福[话题]# #高考[话题]#,"蔚来,加电的李斌,蔚来985,高考祝福,高考",2026-06-07 10:38:30,2026-06-07,8468791d08cc4842,蔚***斌,上海,1877,107,71,34,2372,46,True,False,blessing,A,account_a,2026-07-04T17:50:08
B001,2026高考,B001_P2,2026高考开考现场,baseline_national_life_event,高考第一天,6a24bea6000000001603fea5,https://www.xiaohongshu.com/explore/6a24bea6000000001603fea5,高考第一天，五台山出现双彩虹,祝愿高考的学子们:考试顺利，旗开得胜，如愿以偿！随喜赞叹！🧘 文殊菩萨心咒（智慧咒）:嗡 阿 若 巴 扎 呐 地,,2026-06-07 08:43:18,2026-06-07,48f4227a40c1a2e9,0***7,北京,1286,119,448,179,3226,43,True,False,exam_scene,A,account_a,2026-07-04T17:50:08
